id,title,comment,レアリティ(参考),登場(参考)
1,積読タワー,読む本がたくさん溜まっているけど気にしない,ノーマル,前川
2,スーパーの天井気にしたことない,スーパーの天井って実は誰も覚えてないんじゃないか,ノーマル,前川(B)
3,現実逃避,もう逃してくれ,ノーマル,杉本
4,男、お茶できる友達がいない問題,友達をみつけよう,ノーマル,前川
5,平成懐古,慎吾ママを子供に見せる杉本,ノーマル,杉本(B)
6,ワールドカップ見てないこと言わない方がいいよ,前川が言われた謎の一言,ノーマル,杉本(B)
7,劇中のテレビ鑑賞シーンがさみしすぎる,映画やドラマでのテレビ鑑賞シーンが恐ろしいくらい寂しい,ノーマル,杉本
8,承認欲求を大事にしよう,自虐禁止！,ノーマル,杉本
9,作品と人格切り離せる？,作品と人格切り離せるのか、難しい,ノーマル,前川(B)
10,王様のブランチの大革命,佐藤栞里さんの単独司会はテレビ史にのこる偉業,ノーマル,杉本(B)
11,トイ・ストーリーガチ勢,トイ・ストーリー5に向けて準備は万端だった前川,ノーマル,前川
12,収録前のコンビニ,飲み物選びに五分かける,ノーマル,杉本
13,会社の評価制度きつすぎ,会社の評価制度がきついんで逃げだしたい,レア,2人
14,喪主やめたい,どうにか葬儀会社が喪主やってくれませんか,レア,前川(B)
15,カレーのじゃがいも過小評価されすぎ,じゃがいもこそカレーのメインになるべきだと主張する男,レア,前川
16,職場でお土産配れない,職場でお土産配るのって一大イベント過ぎて一苦労だ,レア,杉本
17,読書会,積んだ本の話をする回,レア,2人
18,ON AIR,今日も収録がはじまる,スーパーレア,2人(B)
19,大学で出会ったふたり,かれこれ10年以上の付き合いなんだから,スーパーレア,2人
20,もう逃げラジオ,一緒に逃げ出しましょう,ウルトラレア,2人(B)
